Post ID,Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,User Follower Count,Post Date and Time,Post Type,Language
0b8a0f47-2891-4cfb-b7f8-0eebf99d4d01,"The product is plain, nothing special.",Neutral,562,373,139,3318,2025-02-14 18:16:36,image,en
73211454-ab2d-4c40-af24-bf2e1f609e0b,I am very horrible with this service.,Negative,686,376,79,8482,2025-07-11 18:16:36,text,en
716f5331-b2a1-43ed-9486-f5300abbab14,"It is neither glad nor shameful, just decent.",Neutral,162,165,183,2580,2025-01-27 18:16:36,text,en
eb940e67-b02f-44f5-8061-7bea0e437655,"I have no strong opinion, it is mediocre.",Neutral,296,180,120,736,2025-12-04 18:16:36,video,en
3a928b32-64ae-47f3-b8ae-49ea8538f123,This is absolutely insane!,Positive,412,85,105,5289,2025-08-07 18:16:36,video,en
eccc9ab0-e9d3-4f13-aca3-ac5a115dee58,"It is okay, just expected.",Neutral,903,332,156,1755,2024-12-20 18:16:36,video,en
f2b6344b-3c71-4cd5-87a9-d35a1586fa94,I was fantastic in this match,Positive,884,353,138,9042,2025-11-30 18:16:36,video,en
559f015e-0264-4909-9c8d-d7885e6a90a7,"The product is mediocre, nothing special.",Neutral,924,343,164,7178,2025-04-16 18:16:36,image,en
2799f950-15ae-4d88-89f1-ddf45f68f53c,It would be great if it didn't freeze.,Negative,949,294,17,1909,2025-10-30 18:16:36,video,en
13993793-4109-48ce-9fd8-da71cef92f92,"Standard quality, pretty normal.",Neutral,93,300,125,2556,2025-04-20 18:16:36,image,en
87c411a0-2a2b-4b94-9056-1c8f0a391d2a,I have my first terrific in Australia.,Positive,99,161,1,5423,2025-05-17 18:16:36,text,en
f24735c0-9b40-4d95-a92a-669275d30b9f,"I thought it would be excited, but it was nasty.",Negative,641,150,46,157,2025-06-30 18:16:36,image,en
ded69680-d455-429b-8f2f-e07a01b89c51,"I did not like it, it was dreadful.",Negative,700,370,48,4739,2025-10-30 18:16:36,image,en
7a80e32c-2dd6-4cb1-9a23-a376c6bfd0d4,"Great concept, but broken execution.",Negative,837,325,59,8103,2025-08-06 18:16:36,image,en
49366392-1c51-46f9-be02-63ce7ceb8752,I scored joyful runs in this match,Positive,162,169,175,4540,2025-05-21 18:16:36,video,en
faed71c9-b659-4cd0-8ef7-038c91ab2cd6,"Great concept, but abysmal execution.",Negative,285,78,58,4167,2025-03-17 18:16:36,image,en
aba20931-9801-4193-a514-5d855ef8a506,Why does it always bug out when I need it?,Negative,230,409,127,2402,2024-12-07 18:16:36,text,en
a63bd5f7-c2c3-457d-abdb-8f742185a586,"It is decent, does the job but that's it.",Neutral,677,409,23,4578,2025-06-04 18:16:36,text,en
68814051-29a8-4418-bda4-85a27f4600e7,I was century in this match,Positive,818,118,192,8742,2025-09-28 18:16:36,text,en
c73a4a49-21c4-4135-86d0-5ece05bcf757,I would love it if the app actually respond.,Negative,807,405,91,3419,2025-08-18 18:16:36,image,en
514e3563-a781-4f4d-b394-daf6fe2cc985,The quality is poor and not first-class at all.,Negative,426,244,101,5939,2025-02-10 18:16:36,text,en
e45fbf83-1131-499f-b770-ab36e5cc7d4f,"Worst experience ever, completely unhappy.",Negative,69,149,27,205,2025-01-16 18:16:36,image,en
d95180de-f4c0-4686-b013-ea244fa52439,"Just a moderate day, feeling moderate.",Neutral,578,417,68,7843,2025-08-01 18:16:36,video,en
b166b626-7d2a-4142-8a22-7a6043bfef0c,"I thought it would be perfect, but it was subpar.",Negative,942,36,3,6891,2025-10-17 18:16:36,video,en
deb67e92-59da-4efa-96dd-0998f408273a,"Just a decent day, feeling decent.",Neutral,185,176,8,5156,2025-09-16 18:16:36,image,en
d027b6f5-7105-43b2-8bca-2012651d34af,"Just a unchanged day, feeling unchanged.",Neutral,150,75,156,5969,2025-04-27 18:16:36,video,en
e47f89be-e90e-4499-9526-cceb98a8d89c,"I regret buying this, it is annoying.",Negative,746,448,2,9250,2025-08-15 18:16:36,image,en
86f886ea-29ca-4651-98cb-1879667c9d3c,"It is okay, just balanced.",Neutral,948,24,99,849,2025-08-02 18:16:36,image,en
f2a0e6e3-7d87-4910-a3a4-39e21dcf56ac,"It is okay, just standard.",Neutral,557,110,128,9909,2025-01-05 18:16:36,image,en
f89829a9-3ff5-4924-a8be-a0d2949996d5,"Not glad at all, very worst.",Negative,877,316,120,751,2025-01-20 18:16:36,video,en
10213f5f-df5f-4e64-b73f-1b04091d8d33,"I have no strong opinion, it is simple.",Neutral,553,346,112,1820,2025-08-09 18:16:36,video,en
423cfdee-6be6-436f-b8ed-76c1bb86dae4,"Just a basic day, feeling basic.",Neutral,453,218,136,1852,2025-07-21 18:16:36,text,en
da772fb7-3f04-4f96-ae0c-5e35e180b8f6,I have never seen such a terrific performance.,Positive,126,424,133,1137,2025-09-17 18:16:36,text,en
8b2dfc6b-2be2-433e-9b7a-6ad5e3aff1a2,"It arrived today, looks routine.",Neutral,638,201,151,9239,2025-08-11 18:16:36,text,en
7e3adb10-d927-484e-824a-ca79f3d89f70,"Super amazing experience, will come back again.",Positive,414,76,128,298,2024-12-17 18:16:36,video,en
947cbd49-cd7d-4545-a36a-f2ed18b5c7d1,"I wish it was first-class, but it is not.",Negative,769,363,74,8291,2025-04-16 18:16:36,text,en
0f484305-d22f-44ed-9f95-6a12c80d00c5,I would love it if the app actually load.,Negative,189,222,73,5433,2025-08-05 18:16:36,image,en
a62fad31-0585-42af-99f1-91760e26f476,I have my first first-class in Australia.,Positive,660,21,195,9788,2025-11-23 18:16:36,text,en
1e16f3a4-37ba-4e04-bf7e-7e3f9b9c0821,"Just badass, nothing else to say.",Positive,106,244,65,2535,2025-06-16 18:16:36,video,en
374c4e42-6e5a-4198-a2cf-c437f85eeca6,I am so terrific with my purchase!,Positive,411,98,34,3896,2025-01-19 18:16:36,image,en
61851f45-144e-4b22-bbf1-19e4b3d24846,"I regret buying this, it is worst.",Negative,5,28,111,8595,2025-06-07 18:16:36,image,en
ea089b58-857a-4bdf-97fc-879ef9059a73,Honestly this update is badass.,Positive,540,480,15,546,2025-02-18 18:16:36,image,en
7671c950-6e8d-4581-862a-aab36b65c3e1,"The product is typical, nothing special.",Neutral,507,313,129,624,2025-04-13 18:16:36,text,en
8c95634c-5791-428c-b737-b6c75c4fdb50,"It is okay, just mediocre.",Neutral,82,327,93,6376,2025-09-17 18:16:36,image,en
64eaad2a-0bb0-46de-b22f-036c9cdc3afa,"I have no strong opinion, it is moderate.",Neutral,930,387,139,7641,2025-06-30 18:16:36,image,en
03360917-7493-4215-b792-42a203af34ba,"Great concept, but useless execution.",Negative,909,40,115,3422,2025-01-22 18:16:36,text,en
42a0a42a-c1d4-4031-b432-95185a01513e,I am so top-notch with my purchase!,Positive,381,434,161,8033,2025-04-03 18:16:36,image,en
00ddda0a-2286-4259-9b9e-76f5baf8bd2b,"It is general, does the job but that's it.",Neutral,895,453,0,4910,2025-09-04 18:16:36,image,en
e21304f0-8ff2-4e53-8c2a-462c2daa3823,"It is okay, just plain.",Neutral,675,424,118,8602,2025-04-04 18:16:36,text,en
336024e9-8925-4849-9f0a-5cb17ca6e0bf,"It arrived today, looks fair.",Neutral,881,244,164,4542,2025-05-13 18:16:36,video,en
5fe198ed-f321-4820-97c8-00e8c2bbe38e,It would be great if it didn't glitch.,Negative,281,423,7,2664,2025-04-15 18:16:36,video,en
b7a214ca-b8ad-4a5e-8c7d-20caf9583e14,"It was not regrettable, it was actually highest.",Positive,951,331,125,1726,2025-01-23 18:16:36,video,en
b9210c29-8c85-45fc-90e4-8b3e5ba0a904,"It is simple, does the job but that's it.",Neutral,689,42,124,807,2025-08-06 18:16:36,text,en
a5433867-ca39-4c0d-9fa0-c41bae64c980,"I really beautiful this product, it works perfectly.",Positive,471,446,55,4044,2025-05-16 18:16:36,text,en
99abaae3-f68c-4abb-a818-f1273b6c40f5,"This is terrible, do not buy it.",Neutral,657,111,67,1318,2025-07-12 18:16:36,image,en
5317315a-8911-44e6-b271-dbc240aebc3d,"Worst experience ever, completely horrible.",Negative,179,28,22,8967,2025-03-15 18:16:36,image,en
376ea8ca-0016-47ba-b9b5-49ea73324b29,"It arrived today, looks expected.",Neutral,196,50,73,8855,2025-07-20 18:16:36,text,en
1ca9fd7d-70ca-4d8d-bd43-ee633f8a4500,"I wish it was impressive, but it is not.",Negative,508,337,69,5280,2025-01-27 18:16:36,video,en
41260f32-f676-4e05-a818-92d236d9e6a2,"Super awesome experience, will come back again.",Positive,63,275,103,9505,2025-05-23 18:16:36,text,en
1f1189a9-4a25-467d-a6ee-29d91ffd06e2,"It stopped working after one day, simply subpar.",Negative,359,117,49,5075,2025-01-24 18:16:36,video,en
5025859b-bd60-4ebe-a927-62f66af1c831,The service was outstanding and the staff was outstanding.,Positive,436,453,7,1652,2025-05-31 18:16:36,text,en
86a7819a-8a30-44f5-963d-aab90917e391,"Standard quality, pretty average.",Neutral,24,387,183,5552,2025-04-07 18:16:36,image,en
88d86f7f-aec5-4386-bb33-e21fa98a2839,The new features are fire.,Positive,435,453,183,655,2025-04-17 18:16:36,video,en
3c50b7be-2b56-4ab9-a7ee-4ba638e7f636,"It stopped working after one day, simply abysmal.",Negative,603,180,156,3362,2025-02-13 18:16:36,video,en
33d507df-cf6f-4205-83c7-9bb952ddcfbe,I would love it if the app actually respond.,Negative,297,391,106,252,2025-01-30 18:16:36,video,en
fa6bc9ab-57c6-4c26-b1c0-1d7ed97bff17,Just fantastic! I love it.,Negative,173,420,111,8805,2025-07-30 18:16:36,video,en
b17457cc-0b22-43d3-8f25-5e8c4b3e57ab,"It is neither superb nor bad, just usual.",Neutral,7,295,40,1289,2025-12-02 18:16:36,image,en
ad315285-66ce-42bc-b268-5fc2850ba641,"I regret buying this, it is abysmal.",Negative,896,393,49,5572,2025-06-28 18:16:36,image,en
6609063c-012e-44fd-8a87-b040495be86f,"It is neither first-class nor annoying, just average.",Neutral,61,368,186,7635,2025-07-23 18:16:36,video,en
c230399d-3edd-4906-9421-885376ab2aec,"This is fail, do not buy it.",Negative,599,406,192,8181,2025-05-05 18:16:36,text,en
8a6d4acd-cea6-4942-8c31-9f94caab839b,"I have no strong opinion, it is decent.",Neutral,710,456,76,6180,2025-01-21 18:16:36,text,en
e4f32076-cb0b-4643-abdd-0a6dfa1acd86,"I did not like it, it was disgusting.",Negative,442,337,93,5187,2025-03-20 18:16:36,text,en
aeacb9d2-b294-4093-ade7-e041f86c670a,This is the pleased thing I have ever bought.,Positive,161,431,81,4871,2025-05-06 18:16:36,video,en
96247942-1ca6-47c0-ac86-9972b8a4bef5,"Just lit, nothing else to say.",Positive,207,453,12,2534,2025-06-11 18:16:36,video,en
8ee8b8c0-f879-44b8-9fd9-46fb759b2568,Why does it always break when I need it?,Negative,251,335,70,8307,2024-12-31 18:16:36,image,en
9bf2b656-caa2-4f95-b8aa-b8a6a95a1e75,I would love it if the app actually operate.,Negative,212,313,185,6559,2025-01-29 18:16:36,text,en
8f995605-9536-4dd2-9789-27c2feb69f0a,I have my first perfect in Australia.,Positive,229,148,153,6803,2025-11-25 18:16:36,text,en
87d28bb9-f49e-445d-a5ac-331e5636113d,I am very nasty with this service.,Negative,875,75,166,9145,2025-07-31 18:16:36,text,en
4e695135-d9e6-42b2-a40a-5dd1602fd91e,This is the first-class thing I have ever bought.,Positive,167,238,36,8992,2025-10-26 18:16:36,video,en
2494bcc3-dc0c-4361-8c3a-1007a5cf22a1,The service was good and the staff was good.,Positive,591,196,173,844,2025-07-03 18:16:36,video,en
f8285f24-2112-4411-8100-b165518af03d,"I have no strong opinion, it is routine.",Neutral,3,384,29,5159,2025-07-19 18:16:36,text,en
1297d10f-7368-42a8-9be4-bfd8d510615d,"Not century at all, very disgusting.",Negative,438,366,62,404,2025-01-24 18:16:36,video,en
12e7c54a-8c4a-4c3a-a47e-9ce7e89f6be6,I would love it if the app actually function.,Negative,692,483,137,1974,2025-10-11 18:16:36,image,en
65a2d2da-9848-4269-8484-b0d5292376ad,"I have no strong opinion, it is routine.",Neutral,564,321,187,8282,2025-09-13 18:16:36,image,en
90e2f736-b68e-466a-922a-1cdc5cc9e41d,I would love it if the app actually launch.,Negative,0,421,146,5466,2024-12-30 18:16:36,video,en
5d1658c8-5b69-4ce1-9cab-545b19b80ec4,I have my first excellent in Australia.,Positive,814,304,176,5962,2025-08-07 18:16:36,image,en
d3685a05-44cd-4bb1-8a5a-b9ebccc33551,An general experience overall.,Neutral,265,122,109,3025,2025-09-12 18:16:36,video,en
e8cd7eda-0c9a-44db-a03b-c806e62f373d,"Not sure how I feel, seems undistinguished.",Neutral,437,278,107,4780,2025-04-30 18:16:36,text,en
26c16a65-d184-4d77-bb57-b1ef84d6388d,An basic experience overall.,Neutral,636,378,10,5813,2025-03-11 18:16:36,image,en
4f2da0cc-f531-446f-bcb3-52ef540b5cbe,Why does it always bug out when I need it?,Negative,609,360,151,5755,2025-07-02 18:16:36,video,en
017be787-685a-4642-a60d-940c0d0f5d4b,"I have no strong opinion, it is typical.",Neutral,24,169,71,1652,2025-06-13 18:16:36,text,en
e13eecc2-8676-462c-9aea-4a03abd7b404,"Despite the delay, the result was joyful.",Positive,59,134,83,5126,2025-05-03 18:16:36,image,en
e30a3f41-2ab5-4dc7-9065-615998b1ac58,"Standard quality, pretty ordinary.",Neutral,775,290,199,4420,2025-07-29 18:16:36,image,en
ffb1f7d7-e83b-4340-9e49-8b349b9c10d5,"The product is expected, nothing special.",Positive,589,268,195,2059,2025-01-26 18:16:36,video,en
c48f5cf0-3ba4-4685-a136-8a3fe7f16d22,"It stopped working after one day, simply regrettable.",Negative,249,393,162,9227,2025-02-06 18:16:36,image,en
78f32e50-f57c-442a-9b54-8cb8d85015f7,This is absolutely fire!,Positive,946,185,123,1944,2025-07-18 18:16:36,video,en
1c63c71c-75f3-4495-8d35-ff551b319b0c,"Just wicked, nothing else to say.",Positive,38,93,83,7621,2025-03-12 18:16:36,video,en
b5817732-bb36-48a3-b9e6-f477e1a22bd2,"I thought it would be superb, but it was shameful.",Negative,1,179,27,4333,2025-10-24 18:16:36,video,en
17fbc20d-c2b8-4fca-b112-cb7c428a1e5e,"I have no strong opinion, it is fine.",Neutral,211,115,123,8523,2025-03-08 18:16:36,image,en
c3f22c9b-2513-49d3-9134-3ff4270e95ea,I became fabulous wicket taker in this match,Positive,720,309,76,8837,2025-07-14 18:16:36,image,en
0c5f4c8a-a483-4bd2-bf26-aff2601ad1b1,"Not sure how I feel, seems middle.",Neutral,581,261,51,2625,2025-06-21 18:16:36,text,en
ba4d639c-21f9-4c09-8619-8baed6d126f8,"Definitely excited, I would recommend it to everyone.",Positive,97,17,60,420,2025-02-20 18:16:36,image,en
1553c7ef-524f-428c-a037-adc29f5b24da,"It stopped working after one day, simply useless.",Negative,383,93,73,759,2025-10-08 18:16:36,image,en
3c93eba6-0864-48af-bf45-de66552ab841,"Not sure how I feel, seems basic.",Neutral,161,92,84,686,2025-08-24 18:16:36,image,en
df41dfef-578f-4c97-a7ab-3bcac4d8068a,"It is okay, just acceptable.",Neutral,914,132,111,9839,2025-01-25 18:16:36,text,en
9ea411fe-06fa-4854-8c33-fc7c14618b9a,Why does it always crash when I need it?,Negative,693,269,104,1840,2025-09-18 18:16:36,image,en
959071c4-9e08-4ca8-a138-6fca56b11094,"It stopped working after one day, simply useless.",Negative,554,154,22,6456,2025-05-07 18:16:36,image,en
01a33339-925e-41bd-ac86-1cf32559ab37,"I did not like it, it was boring.",Negative,411,395,17,1145,2025-07-30 18:16:36,video,en
0581e445-39e4-498d-99a8-e3654c7e2f71,I am atrocious regarding the support I received.,Negative,233,181,85,1553,2025-01-09 18:16:36,text,en
e8513d82-213d-4e44-86d2-7b532476098a,"It is neither lovely nor disgusting, just balanced.",Neutral,230,417,98,4103,2025-01-26 18:16:36,video,en
c22c6aa8-e5e4-4feb-8f9b-41e034698b86,The new features are badass.,Positive,387,134,51,8221,2025-04-24 18:16:36,video,en
4eaeceff-c40e-428a-aa87-b2e82d8a977e,I am very awful with this service.,Negative,613,301,181,9625,2025-04-04 18:16:36,image,en
e2872bf1-47a1-4d75-af04-4af18f8d35e1,"Supposed to be satisfied, turned out awful.",Negative,108,189,113,1219,2025-08-02 18:16:36,text,en
5f6eb7b7-1414-4a6f-8c4a-82bbdafd11d2,"Definitely incredible, I would recommend it to everyone.",Positive,240,452,80,4933,2024-12-05 18:16:36,image,en
2594a69b-83c9-4d77-9817-325d979fe0da,I have my first wonderful in Australia.,Positive,592,387,153,8283,2025-09-26 18:16:36,text,en
4236d0a2-dae2-42f7-8970-a66abd2c9720,"I regret buying this, it is abysmal.",Negative,345,241,198,9828,2025-10-31 18:16:36,text,en
67113053-267b-43d7-8be9-b2ad59eb4c15,I have never seen such a delighted performance.,Positive,454,358,100,3000,2024-12-09 18:16:36,text,en
8033caab-3f66-4e94-8354-5304cdfcdc71,"It arrived today, looks decent.",Neutral,956,156,115,7298,2025-11-02 18:16:36,text,en
664ccfe7-dc9b-4423-88ec-be2b7583fce1,"The product is decent, nothing special.",Neutral,824,243,40,535,2025-07-03 18:16:36,text,en
e47b416b-fc47-4a98-a0cd-2cf33f977fc8,Just excited! I love it.,Positive,239,73,182,3498,2025-08-31 18:16:36,video,en
57bfd9af-7401-4ae1-8e89-7fb57f683e29,An fair experience overall.,Neutral,673,85,74,2634,2025-11-27 18:16:36,image,en
24472501-e5ae-4e24-b79d-b8220f5ae5b2,"It arrived today, looks general.",Neutral,514,341,78,6684,2025-03-06 18:16:36,video,en
b494e482-943a-4c44-b985-c4591b63b93d,"Not glad at all, very shameful.",Negative,97,372,77,1517,2025-11-08 18:16:36,video,en
e2e3fd07-855b-47a5-a42e-419a34f59b2d,"It is neither highest nor subpar, just ordinary.",Neutral,822,126,9,2610,2025-08-30 18:16:36,image,en
81d830e0-8a0e-40cd-be01-21125cc50a06,"I have no strong opinion, it is routine.",Neutral,750,177,51,6538,2024-12-13 18:16:36,text,en
b2cbbd20-8761-40a6-b97f-cc501450a47d,I have never seen such a delighted performance.,Positive,695,484,11,8402,2025-03-17 18:16:36,video,en
95bff878-dbaa-4aaf-b43b-01ac9593f54e,"Not sure how I feel, seems average.",Neutral,914,266,57,6700,2025-04-03 18:16:36,video,en
be24a599-315e-48a8-8c6a-59bd35df5bde,"This is frustrating, do not buy it.",Negative,552,124,118,9975,2025-03-06 18:16:36,video,en
6163bd9e-82e2-4773-98fc-69ef43bdb39b,I would love it if the app actually perform.,Negative,947,214,135,1417,2025-06-10 18:16:36,text,en
cec89548-4c5e-43a3-bc28-2a296aa9df0b,An routine experience overall.,Neutral,312,256,64,5611,2025-08-04 18:16:36,video,en
0d135415-5d48-4c8f-bb3f-16be8f83247a,"I regret buying this, it is fail.",Negative,882,423,4,3790,2025-09-06 18:16:36,video,en
c42397b5-cfea-4bef-8b38-cfb9aff80f67,"It is okay, just normal.",Neutral,167,314,200,2462,2025-10-18 18:16:36,image,en
91a4b1c5-19c6-4a00-9170-eee54577484a,"The product is moderate, nothing special.",Neutral,1000,7,180,4436,2025-04-22 18:16:36,text,en
2fccf0bb-ccdf-4282-8233-029a54903268,I have my first satisfied in Australia.,Positive,571,464,23,2183,2025-10-20 18:16:36,text,en
4f6ffccb-3eaf-4de1-8ebe-5004625d6787,"I thought it would be best, but it was horrible.",Negative,552,202,168,904,2025-04-28 18:16:36,image,en
8cb544a2-6d38-4c84-a81f-c45632f6bb62,"Worst experience ever, completely frustrating.",Negative,916,160,116,233,2025-05-09 18:16:36,image,en
a28f74c0-8a19-4b8e-9e64-10be8028369d,"Just a okay day, feeling okay.",Neutral,487,324,165,6053,2025-03-01 18:16:36,text,en
73e44b46-0742-4ebb-9963-8064258b0a82,"It arrived today, looks okay.",Neutral,903,286,10,3911,2025-10-06 18:16:36,image,en
fda9d927-afbb-46e5-ac17-88bdb2e4aaa9,"It arrived today, looks acceptable.",Neutral,574,389,187,6307,2025-02-22 18:16:36,image,en
691c7352-361f-4be8-9237-6f15822d01c7,"It stopped working after one day, simply shameful.",Negative,790,467,127,2931,2025-06-05 18:16:36,text,en
dc5e1cd2-9992-47a6-bf3f-e0391eb9c776,The new features are crazy.,Positive,633,479,22,2506,2025-02-01 18:16:36,text,en
67cafae2-05fb-4ef9-9735-9e3e2f72115b,"I did not like it, it was lousy.",Negative,951,435,7,8329,2024-12-20 18:16:36,video,en
b7fad1dc-ef32-4c60-aba7-a32d6cc4cb5e,I scored superior runs in this match,Positive,375,323,29,7782,2024-12-20 18:16:36,video,en
798a0111-f798-48dc-887a-8b04ac124ab7,The service was good and the staff was good.,Positive,286,94,43,4037,2025-09-01 18:16:36,image,en
9e7d0769-766c-45b7-9af7-50f60cc97267,Just wonderful! I love it.,Positive,408,134,68,5031,2025-05-22 18:16:36,text,en
24043505-5999-4de7-9c49-8e36417bfc94,"I did not like it, it was annoying.",Negative,509,375,112,3840,2025-11-25 18:16:36,text,en
c3ee982b-f2ce-4c15-8b9c-9391545dfc9e,This is absolutely crazy!,Positive,944,369,127,2412,2025-08-11 18:16:36,text,en
4544febd-e052-45be-a982-7a6fd3c19c5d,"It was not miserable, it was actually joyful.",Positive,718,407,23,3110,2024-12-11 18:16:36,video,en
03b50e4c-2852-4d99-8724-32682c80f9d8,"It is okay, just mediocre.",Neutral,385,248,128,9391,2025-08-26 18:16:36,image,en
1751c64b-b951-4bd2-8d5d-b24f87deac57,I am very terrible with this service.,Neutral,425,353,17,6281,2025-05-22 18:16:36,video,en
637af9f8-3f82-4025-a9ba-d5605c74435f,I am regrettable regarding the support I received.,Negative,489,431,39,4416,2025-02-03 18:16:36,image,en
078f64c5-173e-497a-b910-84fe9142cc9b,"I wish it was first-class, but it is not.",Negative,86,68,133,3580,2025-01-28 18:16:36,video,en
a97e122e-ed3c-4bf8-b863-86b904d634a2,"It is okay, just plain.",Neutral,584,494,148,6827,2025-09-02 18:16:36,image,en
133d391f-3068-4fb2-83aa-911eca494e89,Why does it always freeze when I need it?,Negative,215,363,102,7543,2025-08-28 18:16:36,text,en
bbd2e2b6-9626-4d19-b52b-64560904b99a,"Just badass, nothing else to say.",Positive,290,365,70,987,2025-07-15 18:16:36,text,en
68e36972-8ec1-4c1b-ba37-7429abe9b301,This is absolutely goated!,Positive,957,147,155,6115,2025-03-28 18:16:36,image,en
47994686-302d-49f1-b632-fceb060a7ad0,"It arrived today, looks steady.",Neutral,647,366,46,4436,2025-05-15 18:16:36,text,en
f416eeb2-46f1-44cd-a5e8-1df910c5f051,It would be great if it didn't fail.,Negative,624,293,111,964,2025-04-29 18:16:36,image,en
8a80e643-7526-440f-9a67-c550c8d5fa73,I am very horrible with this service.,Negative,351,208,162,5015,2025-01-16 18:16:36,text,en
2792357f-126d-42b2-b9c7-7e6ba3306791,"I thought it would be excellent, but it was lousy.",Negative,173,263,13,511,2025-07-20 18:16:36,image,en
a558b03d-f1b0-46bd-b126-84e2d06b9e16,"It arrived today, looks so-so.",Neutral,282,120,181,3503,2025-09-17 18:16:36,video,en
71218e10-6e90-490d-9947-5fb248aec78e,"I really joyful this product, it works perfectly.",Positive,563,89,47,7970,2025-02-07 18:16:36,video,en
21d61d0b-8a16-4188-96be-a965dac84288,Why does it always break when I need it?,Negative,535,420,19,2032,2025-10-30 18:16:36,text,en
